planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_rad_jupiter_rad,planet_mass_jupiter_mass,orbital_eccentricity,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec,stellar_mass_imputation_method,stellar_luminosity_solar_lum,planet_orbital_velocity
Kepler-1526 b,Kepler-1526,1.0,Transit,2016.0,Kepler,KV,3.9086350557,0.0418,2.193166666666667,4.446682378842282,0.1956614483333333,,0.0,787.75,4537.222222222223,0.6855,0.6807500000000001,4.604676250000001,555.574,observed,0.17867548521700397,4.036274257598225
Kepler-1527 b,Kepler-1527,1.0,Transit,2016.0,Kepler,FV,160.130593657125,0.5886,4.534333333333333,51.701136167637266,0.4045265466666666,,0.0,366.0,6043.0,1.32,1.0604285714285715,4.24436,1842.13,observed,2.084721711287535,1.3424730169955317
Kepler-1528 b,Kepler-1528,1.0,Transit,2016.0,Kepler,GV,1.7911109579285716,0.0296,1.3476666666666663,1.4738633942719581,0.1202309083333333,,0.0,1548.25,5947.875,1.0052,1.062,4.476025714285714,817.534,observed,1.134598333190866,5.990890570168537
Kepler-1529 b,Kepler-1529,1.0,Transit,2016.0,Kepler,KV,5.3390529413875,0.0525,1.967833333333333,5.215926745529723,0.1755585316666666,,0.0,817.0,5003.666666666667,0.7586758,0.7392500000000001,4.5755550000000005,661.014,observed,0.3237097597957274,3.7531074552194723
Kepler-153 b,Kepler-153,1.0,Transit,2014.0,Kepler,GV,18.87021630946364,0.1278685714285714,2.775888888888889,6.957671966572907,0.2477035155555555,,0.0,623.2,5325.833333333333,0.8412857142857143,0.791,4.53288,459.3680000000001,observed,0.5108897206831216,2.487604416194388
Kepler-153 c,Kepler-153,1.0,Transit,2014.0,Kepler,GV,46.90248386603636,0.2345428571428571,2.446,5.471006870058141,0.2182498188888889,,0.0,459.8,5325.833333333333,0.8412857142857144,0.791,4.5328800000000005,459.3680000000001,observed,0.5108897206831217,1.836758761192366
Kepler-1530 b,Kepler-1530,1.0,Transit,2016.0,Kepler,GV,2.5904168691777776,0.036786,1.64,3.343635974779156,0.146311,,0.0,1484.0,5494.671,0.822644,0.92,4.38891625,489.876,observed,0.5534526783854188,5.001814882191921
Kepler-1530 c,Kepler-1530,1.0,Transit,2016.0,Kepler,GV,5.3232223875,0.059488,1.65,3.3936013495609827,0.14720314,,0.0,1167.0,5494.671,0.822644,0.92,4.38891625,489.876,observed,0.5534526783854188,3.933274111324593
Kepler-1530 d,Kepler-1530,1.0,Transit,2021.0,Kepler,GV,9.20775289375,0.0857519999999999,3.27870115,9.546264927506035,0.29250663,,0.0,972.0,5554.7675,1.303,1.015,4.31846,489.876,observed,1.450247831683916,3.441009535792332
Kepler-1531 b,Kepler-1531,1.0,Transit,2016.0,Kepler,FV,1.1385449000125,0.021828,1.2403333333333333,1.3231221499895647,0.1106552933333333,,0.0,2444.75,6370.25,1.4278,1.1183333333333334,4.1788114285714295,666.334,observed,3.0119690945858695,7.159021164097284
