planet_name,star_number_per_system,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,stellar_luminosity_solar_lum,planet_orbital_velocity,habitable_zone_main_seq
Kepler-1701 b,1.0,GV,169.13399138124998,0.5682599999999999,2.068310345,3.978046340085876,276.75,5250.25,0.7942028333333333,0.867,4.5564857142857145,0.4300041515271924,1.2354096495899558,1
Kepler-1702 b,1.0,KV,18.501073116666667,0.12795,1.580381586,3.0547746950701686,556.5,5192.833333333333,0.7362473333333334,0.8342499999999999,4.621473333333333,0.3536346854496819,2.5538944629773725,0
Kepler-1704 b,1.0,GV,924.0675984666668,1.916794,11.081954686,1322.16617312,239.45,5757.003333333334,1.6085,1.12725,4.069164,2.549869205802764,0.7670035699416293,1
Kepler-1705 b,1.0,FV,9.02335855,0.08,2.03,4.47,789.0,6056.0,1.259,1.139,4.449154999999999,1.9128670052699828,3.773912725128817,0
Kepler-1705 c,1.0,FV,11.28,0.1027985900468962,2.05,5.42,895.6992949060685,6312.0,1.259,1.139,4.298,2.257403899849571,3.329225918302676,0
Kepler-1708 b,1.0,FV,737.1131,1.64,9.96,1462.0106722,206.0391607571997,6157.0,1.117,1.088,4.37,1.6086916610036175,0.8146433330353275,0
Kepler-1709 b,1.0,GV,65.7045801388889,0.3247566666666666,2.822178392857143,7.179769118229112,460.6,5905.202222222222,1.0485,1.042,4.4240225,1.1994048968804865,1.7915535996389482,0
Kepler-171 b,1.0,GV,4.166961805645454,0.04955,2.5893333333333337,6.096170824660204,1027.4,5601.916666666667,0.9477581428571428,0.9396666666666668,4.493434,0.7936544852844021,4.355520529930336,0
Kepler-171 c,1.0,GV,11.46347457939091,0.0970457142857142,2.8470000000000004,7.300224022974767,734.4,5601.916666666667,0.9477581428571428,0.9396666666666668,4.493434,0.7936544852844021,3.112244542823329,0
Kepler-171 d,1.0,GV,39.60131903110909,0.2217471428571428,2.019888888888889,3.802963983529396,485.2,5601.916666666667,0.9477581428571428,0.9396666666666668,4.493434,0.7936544852844021,2.058888738518106,0
Kepler-1710 b,1.0,GV,14.910942422,0.1160856038,3.19744103,3.49494179,685.0,5611.0,0.8984392,0.9402857142857144,4.5146175,0.7178410825918392,2.846529707484844,0
Kepler-1711 b,1.0,GV,21.0607179025,0.14708,1.8938333333333333,4.75022176652921,680.4,5741.4400000000005,1.0596,0.9454,4.369666666666666,1.094604103359459,2.535747303698641,0
Kepler-1712 b,1.0,KV,13.815595866666667,0.09032,2.0019607942857145,3.739087079022804,391.8,3788.375,0.4998333333333333,0.5153333333333333,4.730942499999999,0.0461691765371827,2.389060440005024,0
Kepler-1713 b,1.0,FV,18.011618858888887,0.1459916666666666,1.7135336214285717,3.721328573970867,881.0,6408.733333333334,1.44955,1.28725,4.238407499999999,3.180131323713879,2.96990392923192,0
Kepler-1714 b,1.0,FIV,10.275325091111114,0.105115,3.142910431428571,8.809085158235302,1206.2,6145.271111111111,2.093,1.4652857142857143,3.9323875,5.605217849917315,3.7342534801526126,0
Kepler-1715 b,1.0,FV,35.597157125555555,0.2211649999999999,4.14042267,40.78369864363373,625.6,6186.740000000001,1.257,1.103142857142857,4.310325,2.0768630770794894,2.23374021339934,0
Kepler-1716 b,1.0,KV,35.583583285555555,0.18741,2.253109785714285,4.6804377364732765,401.8,4804.768888888889,0.6853333333333333,0.7275,4.62244,0.2245864613469429,1.970584681649755,0
